AvoidCallingFinalize:Finalizer Rules
DuplicateImports:Import Statement Rules
DontImportJavaLang:Import Statement Rules
UnusedImports:Import Statement Rules
ImportFromSamePackage:Import Statement Rules
TooManyStaticImports:Import Statement Rules
UseProperClassLoader:J2EE Rules
MDBAndSessionBeanNamingConvention:J2EE Rules
RemoteSessionInterfaceNamingConvention:J2EE Rules
LocalInterfaceSessionNamingConvention:J2EE Rules
LocalHomeNamingConvention:J2EE Rules
RemoteInterfaceNamingConvention:J2EE Rules
DoNotCallSystemExit:J2EE Rules
StaticEJBFieldShouldBeFinal:J2EE Rules
DoNotUseThreads:J2EE Rules
BeanMembersShouldSerialize:JavaBean Rules
MissingSerialVersionUID:JavaBean Rules
JUnitStaticSuite:JUnit Rules
JUnitSpelling:JUnit Rules
JUnitAssertionsShouldIncludeMessage:JUnit Rules
JUnitTestsShouldIncludeAssert:JUnit Rules
TestClassWithoutTestCases:JUnit Rules
UnnecessaryBooleanAssertion:JUnit Rules
UseAssertEqualsInsteadOfAssertTrue:JUnit Rules
UseAssertSameInsteadOfAssertTrue:JUnit Rules
UseAssertNullInsteadOfAssertTrue:JUnit Rules
SimplifyBooleanAssertion:JUnit Rules
UseCorrectExceptionLogging:Jakarta Commons Logging Rules
ProperLogger:Jakarta Commons Logging Rules
MoreThanOneLogger:Java Logging Rules
LoggerIsNotStaticFinal:Java Logging Rules
SystemPrintln:Java Logging Rules
AvoidPrintStackTrace:Java Logging Rules
ReplaceVectorWithList:Migration Rules
ReplaceHashtableWithMap:Migration Rules
ReplaceEnumerationWithIterator:Migration Rules
AvoidEnumAsIdentifier:Migration Rules
AvoidAssertAsIdentifier:Migration Rules
IntegerInstantiation:Migration Rules
ByteInstantiation:Migration Rules
ShortInstantiation:Migration Rules
LongInstantiation:Migration Rules
JUnit4TestShouldUseBeforeAnnotation:Migration Rules
JUnit4TestShouldUseAfterAnnotation:Migration Rules
JUnit4TestShouldUseTestAnnotation:Migration Rules
JUnit4SuitesShouldUseSuiteAnnotation:Migration Rules
JUnitUseExpected:Migration Rules
ShortVariable:Naming Rules
LongVariable:Naming Rules
ShortMethodName:Naming Rules
VariableNamingConventions:Naming Rules
MethodNamingConventions:Naming Rules
ClassNamingConventions:Naming Rules
AbstractNaming:Naming Rules
AvoidDollarSigns:Naming Rules
MethodWithSameNameAsEnclosingClass:Naming Rules
SuspiciousHashcodeMethodName:Naming Rules
SuspiciousConstantFieldName:Naming Rules
SuspiciousEqualsMethodName:Naming Rules
AvoidFieldNameMatchingTypeName:Naming Rules
AvoidFieldNameMatchingMethodName:Naming Rules
NoPackage:Naming Rules
PackageCase:Naming Rules
MisleadingVariableName:Naming Rules
BooleanGetMethodName:Naming Rules
LocalVariableCouldBeFinal:Optimization Rules
MethodArgumentCouldBeFinal:Optimization Rules
AvoidInstantiatingObjectsInLoops:Optimization Rules
UseArrayListInsteadOfVector:Optimization Rules
SimplifyStartsWith:Optimization Rules
UseStringBufferForStringAppends:Optimization Rules
UseArraysAsList:Optimization Rules
AvoidArrayLoops:Optimization Rules
UnnecessaryWrapperObjectCreation:Optimization Rules
AddEmptyString:Optimization Rules
AvoidCatchingThrowable:Strict Exception Rules
SignatureDeclareThrowsException:Strict Exception Rules
ExceptionAsFlowControl:Strict Exception Rules
AvoidCatchingNPE:Strict Exception Rules
AvoidThrowingRawExceptionTypes:Strict Exception Rules
AvoidThrowingNullPointerException:Strict Exception Rules
AvoidRethrowingException:Strict Exception Rules
DoNotExtendJavaLangError:Strict Exception Rules
DoNotThrowExceptionInFinally:Strict Exception Rules
AvoidThrowingNewInstanceOfSameException:Strict Exception Rules
AvoidDuplicateLiterals:String and StringBuffer Rules
StringInstantiation:String and StringBuffer Rules
StringToString:String and StringBuffer Rules
InefficientStringBuffering:String and StringBuffer Rules
UnnecessaryCaseChange:String and StringBuffer Rules
UseStringBufferLength:String and StringBuffer Rules
AppendCharacterWithChar:String and StringBuffer Rules
ConsecutiveLiteralAppends:String and StringBuffer Rules
UseIndexOfChar:String and StringBuffer Rules
InefficientEmptyStringCheck:String and StringBuffer Rules
InsufficientStringBufferDeclaration:String and StringBuffer Rules
UselessStringValueOf:String and StringBuffer Rules
StringBufferInstantiationWithChar:String and StringBuffer Rules
UseEqualsToCompareStrings:String and StringBuffer Rules
AvoidStringBufferField:String and StringBuffer Rules
MethodReturnsInternalArray:Security Code Guidelines
ArrayIsStoredDirectly:Security Code Guidelines
LooseCoupling:Type Resolution Rules
CloneMethodMustImplementCloneable:Type Resolution Rules
UnusedImports:Type Resolution Rules
SignatureDeclareThrowsException:Type Resolution Rules
UnusedPrivateField:Unused Code Rules
UnusedLocalVariable:Unused Code Rules
UnusedPrivateMethod:Unused Code Rules
UnusedFormalParameter:Unused Code Rules
